"상품군별(1)","시점",인터넷쇼핑,모바일쇼핑
"컴퓨터 및 주변기기","2017.01",288391,133993
"가전·전자·통신기기","2017.01",307496,294626
"서적","2017.01",103851,47379
"사무·문구","2017.01",37233,15959
"의복","2017.01",397422,467093
"신발","2017.01",42529,61269
"가방","2017.01",43978,99665
"패션용품 및 액세서리","2017.01",56669,86770
"스포츠·레저용품","2017.01",104489,96891
"화장품","2017.01",273399,380746
"아동·유아용품","2017.01",76647,183143
"음·식료품","2017.01",281528,394322
"농축수산물","2017.01",116799,142230
"생활용품","2017.01",245410,346900
"자동차 및 자동차용품","2017.01",34744,45400
"가구","2017.01",83204,105397
"애완용품","2017.01",22849,30247
"여행 및 교통서비스","2017.01",603688,611775
"문화 및 레저서비스","2017.01",94242,70012
"이쿠폰서비스","2017.01",14216,74432
"음식서비스","2017.01",32810,150546
"기타서비스","2017.01",41810,23788
"기타","2017.01",86780,57713
"컴퓨터 및 주변기기","2017.02",329143,146200
"가전·전자·통신기기","2017.02",328088,298786
"서적","2017.02",106649,47680
"사무·문구","2017.02",41550,18854
"의복","2017.02",382105,445567
"신발","2017.02",44976,73655
"가방","2017.02",53127,110077
"패션용품 및 액세서리","2017.02",58915,87970
"스포츠·레저용품","2017.02",106163,100947
"화장품","2017.02",300678,428550
"아동·유아용품","2017.02",81434,180770
"음·식료품","2017.02",223285,349797
"농축수산물","2017.02",66964,100582
"생활용품","2017.02",252296,354823
"자동차 및 자동차용품","2017.02",33549,43128
"가구","2017.02",96989,122186
"애완용품","2017.02",24296,37709
"여행 및 교통서비스","2017.02",552472,557968
"문화 및 레저서비스","2017.02",72901,50991
"이쿠폰서비스","2017.02",11707,69089
"음식서비스","2017.02",28759,145165
"기타서비스","2017.02",22608,18125
"기타","2017.02",80170,61409
"컴퓨터 및 주변기기","2017.03",322089,151262
"가전·전자·통신기기","2017.03",349185,318541
"서적","2017.03",126052,59519
"사무·문구","2017.03",45751,24255
"의복","2017.03",478990,563752
"신발","2017.03",55799,97495
"가방","2017.03",54028,114633
"패션용품 및 액세서리","2017.03",63045,102632
"스포츠·레저용품","2017.03",128706,128655
"화장품","2017.03",353850,361445
"아동·유아용품","2017.03",95343,204856
"음·식료품","2017.03",249069,392601
"농축수산물","2017.03",72315,121835
"생활용품","2017.03",266119,353374
"자동차 및 자동차용품","2017.03",37139,44158
"가구","2017.03",102935,137752
"애완용품","2017.03",25187,40078
"여행 및 교통서비스","2017.03",510654,561942
"문화 및 레저서비스","2017.03",88936,49197
"이쿠폰서비스","2017.03",12277,77872
"음식서비스","2017.03",30493,161602
"기타서비스","2017.03",19826,16120
"기타","2017.03",97661,77987
"컴퓨터 및 주변기기","2017.04",251604,116675
"가전·전자·통신기기","2017.04",366894,349814
"서적","2017.04",82291,40127
"사무·문구","2017.04",41721,20233
"의복","2017.04",441022,531625
"신발","2017.04",54249,97379
"가방","2017.04",47250,112149
"패션용품 및 액세서리","2017.04",59952,105230
"스포츠·레저용품","2017.04",135380,147775
"화장품","2017.04",251566,331769
